goods_id,goods_sn,美国货号,goods_name,平米/kg,片/kg,规格,新规格,备注
1,231105,492345,Imperial Gris Matt Pencil,配件,,75x40,,
2,231125,494159,Imperial Pewter Gls London,配件,,50x200,,
3,211018,441005,Oxford White 5x15 cm,配件,,50x150,,
4,231059,442012,Imperial Bone Gls RES 10x40,,,100x400x10,,
5,211077,485579,Carrara Gris Gls 20x50cm,,,300x450x10,,
6,231038,441972,Imperial Bianco Gls RES 10x40,,,100x400x10,,
7,231094,492331,Imperial Gris Gls Cornice,,,75x200,,
8,231064,442040,Imperial Brite Wht Matt London,,,50x200,,
9,231042,441979,Imperial Bianco Gls London OC,,,30x50,,
10,231050,441996,Imperial Bone Gls Twist Pencil,,,200x15,,
11,231083,485609,Imperial Bianco Trim 5x25x.78cm,,,300x600x10,,
12,211068,470685,Hall Blanco 20x50cm,,,200x500x10,,
13,231056,442007,Imperial Bianco Mat RES 7.5x15,,,150x75x10,,
14,211119,494132,Arabesque Carrara Gris Gls,,,130x130x10,,
15,231113,494107,Imperial Ice Grey Gls Cornice,配件,,20x150,,
16,211073,470838,Imperial Beige 25x33cm,配件,,50x300,,
17,211100,492338,Imperial Gris Matt RES 10x20,,,100x200x10,,
18,211089,492324,Imperial Gris Gls 10x20cm,,,100x200x10,,
19,141100,675265,HC Hampton Carrara Pol. Corner,配件,1.3,88x88x67,,
20,121106,657669,Hampton Carrara Pol Hex 2,25,2,275x290x10,,
21,124012,658338,Sandlewood P/F Corinth,25,2.27,305x305x10,,
22,124017,658369,Sandlewood Hon Corinth,18.97,1.72,305x305x10,,
23,121113,658506,Legno 5cm,22,2,305x305x10,,
24,131119,658512,Legno Luce Barnes OC,配件,1.03,42x42x50,,
25,231019,441006,Oxford White REL 5x15 cm,,,50x151,,
26,231063,442037,Imperial Brite Wht Matt Cornice,,,200x75,,
27,231093,492330,Imperial Gris Gls Skirting OC,,,150x200x10,,
28,231039,441975,Imperial Bianco Gls Cornice OC,,,40x75,,
29,211082,485608,Imperial Bianco 30x60cm,,,250x330x10,,
30,211030,452100,Storie Bombay 25x33cm,,,250x330x10,,
31,231049,441994,Imperial Bone Gls Skirting,,,150x200x10,,
32,231122,494154,Imperial Pewter Gls RES10x20,,,100x200x10,,
33,231055,442006,Imperial Bianco Mat REL 7.5x15,,,150x75x10,,
