item_id,goods_id,key,新规格,key_name,square_price,store_count,bar_code,sku,spec_img,prom_id,prom_type,num_price,numstore_count,state,square_weight,num_weight
,1,2,75x40,规格：75x40,8.99,500,,1137,,0,0,8.99,500,1,,
,2,3,200x50,规格：200x50,10.99,500,,1157,,0,0,10.99,500,1,,
,3,4,150x50,规格：150x50,0.97,500,,1059,,0,0,0.97,500,1,,
,4,5,400x100x10,规格：400x100x10,8.99,500,,1086,,0,0,8.99,500,1,,
,5,6,450x300x10,规格：450x300x10,6.73,500,,1109,,0,0,6.73,500,1,,
,6,5,400x100x10,规格：400x100x10,8.99,500,,1065,,0,0,8.99,500,1,,
,7,7,200x75,规格：200x75,15.99,500,,1126,,0,0,15.99,500,1,,
,8,3,200x50,规格：200x50,9.99,500,,1091,,0,0,9.99,500,1,,
,9,8,50x30,规格：50x30,16.99,500,,1069,,0,0,16.99,500,1,,
,10,9,200x15,规格：200x15,8.99,500,,1077,,0,0,8.99,500,1,,
,11,10,600x300x10,规格：600x300x10,5.29,500,,1115,,0,0,5.29,500,1,,
,12,11,500x200x10,规格：500x200x10,8.42,500,,1097,,0,0,8.42,500,1,,
,13,12,150x75x10,规格：150x75x10,5.99,500,,1083,,0,0,5.99,500,1,,
,14,13,130x130x10,规格：130x130x10,1.63,500,,1151,,0,0,1.63,500,1,,
,15,14,150x20,规格：150x20,15.99,500,,1145,,0,0,15.99,500,1,,
,16,15,300x50,规格：300x50,4.22,500,,1103,,0,0,4.22,500,1,,
,17,16,200x100x10,规格：200x100x10,6.99,500,,1132,,0,0,6.99,500,1,,
,18,16,200x100x10,规格：200x100x10,1.77,500,,1121,,0,0,1.77,500,1,,
,19,17,88x88x67,规格：88x88x67,74.99,500,,1384,,0,0,74.99,500,1,,
,20,18,290x275x10,规格：290x275x10,16.88,500,,1390,,0,0,16.88,500,1,,
,21,19,305x305x10,规格：305x305x10,14,500,,1396,,0,0,14,500,1,,
,22,19,305x305x10,规格：305x305x10,14,500,,1402,,0,0,14,500,1,,
,23,19,305x305x10,规格：305x305x10,14.31,500,,1408,,0,0,14.31,500,1,,
